id,name,birth
1,"Fred Astaire",1899
2,"Lauren Bacall",1924
3,"Brigitte Bardot",1934
4,"John Belushi",1949
5,"Ingmar Bergman",1918
6,"Ingrid Bergman",1915
7,"Humphrey Bogart",1899
8,"Marlon Brando",1924
9,"Richard Burton",1925
10,"James Cagney",1899
11,"Gary Cooper",1901
12,"Bette Davis",1908
13,"Doris Day",1922
14,"Olivia de Havilland",1916
15,"James Dean",1931
16,"Georges Delerue",1925
17,"Marlene Dietrich",1901
18,"Kirk Douglas",1916
19,"Federico Fellini",1920
20,"Henry Fonda",1905
21,"Joan Fontaine",1917
22,"Clark Gable",1901
23,"Judy Garland",1922
24,"John Gielgud",1904
25,"Jerry Goldsmith",1929
26,"Cary Grant",1904
27,"Alec Guinness",1914
28,"Rita Hayworth",1918
29,"Margaux Hemingway",1954
30,"Audrey Hepburn",1929
31,"Katharine Hepburn",1907
32,"Charlton Heston",1923
33,"Alfred Hitchcock",1899
34,"William Holden",1918
35,"James Horner",1953
36,"Buster Keaton",1895
37,"Gene Kelly",1912
38,"Grace Kelly",1929
39,"Deborah Kerr",1921
40,"Stanley Kubrick",1928
41,"Akira Kurosawa",1910
42,"Alan Ladd",1913
43,"Veronica Lake",1922
44,"Burt Lancaster",1913
45,"Bruce Lee",1940
46,"Vivien Leigh",1913
47,"Sophia Loren",1934
49,"Henry Mancini",1924
50,"Groucho Marx",1890
51,"James Mason",1909
52,"Marcello Mastroianni",1924
53,"Robert Mitchum",1917
54,"Marilyn Monroe",1926
55,"Alfred Newman",1901
56,"Paul Newman",1925
57,"David Niven",1910
58,"Maureen O'Hara",1920
59,"Laurence Olivier",1907
60,"Gregory Peck",1916
62,"Elvis Presley",1935
63,"Anthony Quinn",1915
64,"Edward G. Robinson",1893
65,"Nino Rota",1911
66,"Jane Russell",1921
67,"Miklós Rózsa",1907
69,"Frank Sinatra",1915
71,"James Stewart",1908
72,"Elizabeth Taylor",1932
76,"François Truffaut",1932
78,"John Wayne",1907
79,"Raquel Welch",1940
80,"Orson Welles",1915
81,"Natalie Wood",1938
83,"Alan Miller",
84,"Li Gong",1965
85,"Henner Hofmann",1950
86,"Louis de Funès",1914
87,"Elena Koreneva",1953
88,"Aleksey Korenev",1927
89,"Richard Paul",1940
90,"Armin Mueller-Stahl",1930
91,"Gérard Pirès",1942
92,"John Cleese",1939
93,"Brad Pitt",1963
94,"J. Reifel",
95,"Woody Allen",1935
96,"Gillian Anderson",1968
97,"Pamela Anderson",1967
98,"Jennifer Aniston",1969
99,"Patricia Arquette",1968
100,"Rowan Atkinson",1955
101,"Dan Aykroyd",1952
102,"Kevin Bacon",1958
103,"Fairuza Balk",1974
104,"Antonio Banderas",1960
105,"Adrienne Barbeau",1945
106,"Drew Barrymore",1975
107,"Kim Basinger",1953
108,"Luc Besson",1959
109,"Yasmine Bleeth",1968
110,"Kenneth Branagh",1960
111,"Matthew Broderick",1962
112,"Pierce Brosnan",1953
113,"Sandra Bullock",1964
114,"Steve Buscemi",1957
115,"Nicolas Cage",1964
116,"James Cameron",1954
117,"Neve Campbell",1973
118,"John Carpenter",1948
119,"Tia Carrere",1967
120,"Jim Carrey",1962
121,"Phoebe Cates",1963
122,"Charles Chaplin",1889
123,"George Clooney",1961
124,"Jennifer Connelly",1970
125,"Sean Connery",1930
126,"Kevin Costner",1955
127,"Wes Craven",1939
128,"Russell Crowe",1964
129,"Tom Cruise",1962
130,"Jamie Lee Curtis",1958
131,"John Cusack",1966
132,"Claire Danes",1979
133,"Geena Davis",1956
134,"Robert De Niro",1943
135,"John Denver",1943
136,"Johnny Depp",1963
137,"Bo Derek",1956
138,"Leonardo DiCaprio",1974
139,"Cameron Diaz",1972
140,"Michael Douglas",1944
141,"David Duchovny",1960
142,"Clint Eastwood",1930
143,"Erika Eleniak",1969
144,"Cary Elwes",1962
145,"Sherilyn Fenn",1965
146,"Ralph Fiennes",1962
147,"Colin Firth",1960
148,"Harrison Ford",1942
149,"Jodie Foster",1962
150,"Michael J. Fox",1961
151,"Morgan Freeman",1937
152,"Richard Gere",1949
153,"Gina Gershon",1962
154,"Mel Gibson",1956
155,"Whoopi Goldberg",1955
156,"Jeff Goldblum",1952
157,"Linda Hamilton",1956
158,"Tom Hanks",1956
159,"Teri Hatcher",1964
160,"Ethan Hawke",1970
161,"Salma Hayek",1966
162,"Anne Heche",1969
163,"Dustin Hoffman",1937
164,"Anthony Hopkins",1937
165,"Ron Howard",1954
166,"Helen Hunt",1963
167,"Elizabeth Hurley",1965
168,"Samuel L. Jackson",1948
169,"Tommy Lee Jones",1946
170,"Milla Jovovich",1975
171,"Ashley Judd",1968
172,"Harvey Keitel",1939
173,"Nicole Kidman",1967
174,"Val Kilmer",1959
175,"Stephen King",1947
176,"Nastassja Kinski",1961
177,"Kevin Kline",1947
178,"Diane Lane",1965
179,"Jude Law",1972
180,"David Lean",1908
181,"Heather Locklear",1961
182,"Jennifer Lopez",1969
183,"Traci Lords",1968
184,"George Lucas",1944
185,"Dolph Lundgren",1957
186,"David Lynch",1946
187,Madonna,1958
188,"Steve Martin",1945
189,"Jenny McCarthy",1972
190,"Matthew McConaughey",1969
191,"Ewan McGregor",1971
192,"Alyssa Milano",1972
193,"Demi Moore",1962
194,"Julianne Moore",1960
195,"Bill Murray",1950
196,"Mike Myers",1963
197,"Jack Nicholson",1937
198,"Gary Oldman",1958
199,"Al Pacino",1940
200,"Bill Paxton",1955
201,"Michelle Pfeiffer",1958
202,"Ryan Phillippe",1974
203,"River Phoenix",1970
204,"Natalie Portman",1981
205,"Parker Posey",1968
206,"Keanu Reeves",1964
207,"Christina Ricci",1980
208,"Molly Ringwald",1968
209,"Tim Robbins",1958
210,"Julia Roberts",1967
211,"Mimi Rogers",1956
212,"Meg Ryan",1961
213,"Winona Ryder",1971
214,"Mia Sara",1967
215,"Susan Sarandon",1946
216,"Arnold Schwarzenegger",1947
217,"Martin Scorsese",1942
218,"Kristin Scott Thomas",1960
219,"Steven Seagal",1952
220,"Joan Severance",1958
221,"Charlie Sheen",1965
222,"Brooke Shields",1965
223,"Elisabeth Shue",1963
224,"Alicia Silverstone",1976
225,"Christian Slater",1969
226,"Will Smith",1968
227,"Mira Sorvino",1967
228,"Kevin Spacey",1959
229,"Steven Spielberg",1946
230,"Sylvester Stallone",1946
231,"Oliver Stone",1946
232,"Sharon Stone",1958
233,"Quentin Tarantino",1963
234,"Charlize Theron",1975
235,"Uma Thurman",1970
236,"Jennifer Tilly",1958
237,"John Travolta",1954
238,"Shannon Tweed",1957
239,"Liv Tyler",1977
240,"Skeet Ulrich",1970
241,"Jean-Claude Van Damme",1960
242,"Mark Wahlberg",1971
243,"Denzel Washington",1954
244,"Sigourney Weaver",1949
245,"Robin Williams",1951
246,"Bruce Willis",1955
247,"John Woo",1946
248,"Edward D. Wood Jr.",1924
249,"James Woods",1947
250,"Renée Zellweger",1969
251,"Timothy Dowling",1973
254,"Isabelle Adjani",1955
255,"Ben Affleck",1972
256,"Jenny Agutter",1952
257,"Alan Alda",1936
258,"Stephanie Zimbalist",1956
259,"Ginger Lynn",1962
260,"Joan Allen",1956
261,"Karen Allen",1951
262,"Nancy Allen",1950
263,"Kirstie Alley",1951
264,"Pedro Almodóvar",1949
265,"Robert Altman",1925
266,"Ursula Andress",1936
267,"Julie Andrews",1935
268,Ann-Margret,1941
269,"Jean-Jacques Annaud",1943
270,"Gabrielle Anwar",1970
271,"Anne Archer",1947
272,"Fanny Ardant",1949
273,"Alan Arkin",1934
274,"David Arquette",1971
